日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2025-04-09,马刺,117-122(胜),15,0-3,0%,0-0,0%,0-0,0%,7,2,0,0,1,3,0
2025-04-06,独行侠,104-135(胜),12,1-1,100%,0-0,0%,0-0,0%,0,3,0,0,1,0,2
2025-04-03,鹈鹕,98-114(胜),12,0-1,0%,0-0,0%,0-0,0%,1,2,0,0,2,0,0
2025-03-31,骑士,122-127(败),20,2-3,66.7%,0-0,0%,0-0,0%,6,5,1,0,1,0,4
2025-03-29,篮网,132-100(胜),17,0-3,0%,0-0,0%,0-0,0%,3,3,1,0,1,0,0
2025-03-27,尼克斯,126-113(胜),16,1-4,25.0%,0-0,0%,0-0,0%,8,2,0,0,0,2,2
2025-03-24,雷霆,103-101(败),15,4-5,80.0%,0-0,0%,0-0,0%,7,0,0,0,3,2,8
2025-03-22,灰熊,108-128(胜),13,0-1,0%,0-0,0%,0-0,0%,2,2,0,2,1,1,0
2025-03-19,骑士,119-132(胜),13,0-1,0%,0-0,0%,0-0,0%,2,2,1,0,1,1,0
2025-03-17,黄蜂,88-123(胜),15,0-3,0%,0-0,0%,0-0,0%,2,3,0,1,0,1,0
2025-03-15,老鹰,121-98(胜),17,1-4,25.0%,0-0,0%,0-0,0%,2,4,2,0,0,0,2
2025-03-01,湖人,102-106(败),16,1-1,100%,0-0,0%,0-0,0%,3,3,0,0,0,3,2
2025-02-27,公牛,122-117(胜),18,3-8,37.5%,0-0,0%,0-0,0%,8,8,1,1,1,2,6
2025-02-24,步行者,111-129(败),24,3-7,42.9%,0-0,0%,2-3,66.7%,3,4,2,0,1,2,8
2025-02-21,雄鹿,110-116(败),20,3-3,100%,0-0,0%,0-0,0%,5,4,1,1,0,3,6
2025-02-14,爵士,120-116(胜),27,4-5,80.0%,0-0,0%,4-4,100%,7,6,3,1,0,1,12
2025-02-06,奇才,119-102(败),18,2-5,40.0%,0-0,0%,0-0,0%,5,6,1,0,0,1,4
2025-02-02,火箭,110-98(胜),24,1-4,25.0%,0-0,0%,0-0,0%,5,4,0,1,1,2,2
2025-01-30,黄蜂,104-83(胜),23,4-6,66.7%,0-0,0%,2-3,66.7%,2,6,1,0,3,4,10
2025-01-18,湖人,101-102(败),27,3-4,75.0%,0-0,0%,0-0,0%,5,7,1,1,3,4,6
2025-01-15,开拓者,132-114(胜),26,2-6,33.3%,0-0,0%,1-2,50.0%,9,11,0,0,2,5,5
2025-01-13,爵士,111-112(败),32,7-11,63.6%,0-0,0%,0-0,0%,6,9,0,2,2,1,14
2025-01-11,掘金,105-124(败),22,5-7,71.4%,0-0,0%,0-0,0%,4,7,1,0,4,4,10
2025-01-02,猛龙,113-130(败),24,1-6,16.7%,0-0,0%,0-0,0%,2,6,1,0,1,3,2
2024-12-30,魔术,101-102(败),31,3-6,50.0%,0-0,0%,0-0,0%,7,7,0,0,2,2,6
2024-12-27,雄鹿,111-105(胜),29,4-9,44.4%,0-0,0%,0-0,0%,4,9,1,0,6,1,8
2024-12-24,热火,95-110(败),30,1-2,50.0%,0-0,0%,2-2,100%,2,9,1,0,1,1,4
2024-12-22,爵士,105-94(败),29,5-11,45.5%,0-0,0%,5-6,83.3%,6,10,2,0,6,1,15
2024-12-20,猛龙,101-94(胜),32,5-9,55.6%,0-0,0%,2-3,66.7%,5,7,0,0,5,2,12
2024-12-17,骑士,130-101(败),31,4-7,57.1%,0-0,0%,2-2,100%,4,8,2,0,6,0,10
2024-12-14,灰熊,119-135(败),21,1-3,33.3%,0-0,0%,0-0,0%,4,8,0,1,2,2,2
2024-12-09,雄鹿,118-113(败),18,0-0,0%,0-0,0%,0-0,0%,3,1,0,0,2,2,0
2024-12-05,步行者,90-99(胜),21,3-3,100%,0-0,0%,1-2,50.0%,7,9,2,3,0,1,7
2024-12-02,魔术,100-92(败),12,0-1,0%,0-0,0%,0-0,0%,2,5,1,0,1,3,0
2024-11-30,魔术,123-100(败),26,2-2,100%,0-0,0%,0-2,0%,7,8,0,0,3,2,4
2024-11-28,太阳,127-117(胜),27,7-8,87.5%,0-0,0%,0-0,0%,9,8,1,0,2,4,14
2024-11-25,国王,108-103(胜),27,2-3,66.7%,0-0,0%,0-0,0%,3,5,1,1,2,2,4
2024-11-23,76人,98-113(败),26,1-4,25.0%,0-0,0%,0-0,0%,4,4,0,1,2,0,2
2024-11-20,黄蜂,115-116(胜),26,5-7,71.4%,0-0,0%,0-0,0%,8,5,3,1,3,2,10
2024-11-18,尼克斯,104-114(败),22,0-3,0%,0-0,0%,0-0,0%,4,8,0,1,3,3,0
2024-11-16,尼克斯,122-124(败),25,2-5,40.0%,0-0,0%,0-0,0%,7,5,1,0,0,1,4
2024-11-12,鹈鹕,107-105(胜),22,3-5,60.0%,0-0,0%,0-0,0%,5,12,2,0,3,3,6
2024-11-09,凯尔特人,104-108(败),27,4-6,66.7%,0-0,0%,0-0,0%,6,8,1,0,3,1,8
2024-11-04,活塞,106-92(败),24,2-4,50.0%,0-0,0%,0-0,0%,6,6,1,0,3,2,4
2024-11-02,公牛,112-120(胜),26,4-5,80.0%,0-0,0%,0-0,0%,8,11,0,2,3,3,8
2024-10-31,灰熊,119-106(胜),25,4-5,80.0%,0-0,0%,0-0,0%,5,3,1,0,2,5,8
2024-10-28,雄鹿,102-115(胜),24,1-3,33.3%,0-0,0%,0-0,0%,6,6,1,0,2,4,2
2024-10-26,魔术,101-116(败),24,2-5,40.0%,0-0,0%,3-4,75.0%,6,3,1,1,4,5,7
2024-10-24,老鹰,116-120(败),24,3-4,75.0%,0-0,0%,0-0,0%,5,8,0,1,6,5,6
