日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2025-04-10,马刺,114-111(败),38,5-8,62.5%,2-2,100%,16-17,94.1%,4,7,2,0,1,1,28
2025-04-09,太阳,133-95(胜),20,2-4,50.0%,0-0,0%,6-7,85.7%,2,3,2,0,0,0,10
2025-04-07,火箭,106-96(败),33,4-7,57.1%,1-1,100%,4-4,100%,5,3,2,1,1,2,13
2025-04-05,掘金,104-118(胜),34,6-13,46.2%,1-3,33.3%,6-6,100%,3,5,5,0,1,2,19
2025-04-04,湖人,123-116(胜),36,4-7,57.1%,1-2,50.0%,2-2,100%,4,2,3,0,1,0,11
2025-04-02,灰熊,134-125(胜),38,7-11,63.6%,1-2,50.0%,12-12,100%,6,4,3,0,2,1,27
2025-03-31,马刺,148-106(胜),24,4-5,80.0%,1-2,50.0%,4-4,100%,3,8,4,0,4,0,13
2025-03-29,鹈鹕,111-95(胜),35,6-13,46.2%,1-6,16.7%,5-7,71.4%,10,4,1,0,2,0,18
2025-03-26,热火,86-112(败),29,5-12,41.7%,0-2,0%,1-1,100%,6,2,1,0,0,0,11
2025-03-23,老鹰,115-124(败),38,7-15,46.7%,1-7,14.3%,10-14,71.4%,4,8,1,0,1,1,25
2025-03-21,猛龙,114-117(胜),36,4-15,26.7%,1-2,50.0%,7-10,70.0%,11,12,2,2,2,2,16
2025-03-19,雄鹿,93-104(胜),37,6-13,46.2%,1-4,25.0%,11-11,100%,8,10,0,0,5,2,24
2025-03-18,掘金,114-105(败),33,8-16,50.0%,1-4,25.0%,6-10,60.0%,8,6,2,1,2,2,23
2025-03-16,尼克斯,94-97(胜),33,3-11,27.3%,1-2,50.0%,4-4,100%,6,7,1,0,1,2,11
2025-03-14,国王,104-130(胜),28,2-5,40.0%,0-0,0%,2-2,100%,5,7,1,0,2,0,6
2025-03-11,开拓者,120-130(胜),35,4-10,40.0%,0-0,0%,7-8,87.5%,10,10,3,0,1,0,15
2025-03-09,活塞,110-115(胜),37,9-17,52.9%,2-4,50.0%,6-7,85.7%,9,5,0,0,4,0,26
2025-03-07,篮网,121-119(胜),35,7-13,53.8%,1-1,100%,10-10,100%,2,6,3,0,1,0,25
2025-03-05,尼克斯,114-102(胜),35,6-12,50.0%,0-3,0%,7-9,77.8%,4,4,0,0,1,2,19
2025-03-04,黄蜂,119-101(胜),31,3-7,42.9%,1-3,33.3%,6-6,100%,3,4,1,0,3,1,13
2025-02-28,魔术,121-115(胜),32,1-7,14.3%,0-3,0%,3-4,75.0%,4,7,0,2,2,1,5
2025-02-26,黄蜂,92-128(胜),19,3-8,37.5%,0-1,0%,0-1,0%,8,5,1,0,0,0,6
2025-02-24,独行侠,102-126(胜),28,5-9,55.6%,0-2,0%,8-8,100%,3,5,1,1,1,1,18
2025-02-22,国王,132-108(胜),32,5-10,50.0%,0-1,0%,7-7,100%,3,7,3,0,0,0,17
2025-02-14,火箭,105-98(胜),35,6-15,40.0%,1-4,25.0%,6-6,100%,8,4,0,0,0,0,19
2025-02-13,独行侠,107-111(败),35,8-17,47.1%,0-0,0%,5-6,83.3%,9,7,0,1,3,3,21
2025-02-11,雄鹿,125-111(胜),31,4-12,33.3%,0-2,0%,12-15,80.0%,9,6,4,0,1,4,20
2025-02-09,公牛,132-111(胜),29,7-12,58.3%,0-1,0%,11-13,84.6%,2,4,1,1,1,1,25
2025-01-22,开拓者,116-107(败),27,4-9,44.4%,1-1,100%,4-4,100%,4,8,0,0,2,0,13
2025-01-20,马刺,107-128(胜),28,3-7,42.9%,0-1,0%,2-2,100%,3,7,0,2,0,2,8
2025-01-18,掘金,133-113(败),33,7-15,46.7%,0-2,0%,4-4,100%,3,2,0,0,1,0,18
2025-01-03,步行者,128-115(败),27,3-6,50.0%,1-2,50.0%,2-2,100%,2,4,2,0,1,0,9
2025-01-02,鹈鹕,108-119(胜),25,3-5,60.0%,1-2,50.0%,2-2,100%,4,2,0,0,0,1,9
2024-12-21,雷霆,104-97(败),7,0-0,0%,0-0,0%,0-0,0%,0,2,0,0,0,0,0
2024-12-17,活塞,124-125(败),44,12-21,57.1%,1-3,33.3%,10-12,83.3%,19,10,4,1,0,0,35
2024-12-13,猛龙,104-114(胜),29,3-8,37.5%,0-0,0%,5-8,62.5%,5,4,0,1,3,0,11
2024-12-09,骑士,113-122(胜),35,6-12,50.0%,0-2,0%,6-8,75.0%,3,5,2,0,1,0,18
2024-12-08,太阳,111-121(胜),34,9-12,75.0%,1-1,100%,5-5,100%,7,4,0,1,1,1,24
2024-12-05,湖人,93-134(胜),29,8-12,66.7%,1-1,100%,0-1,0%,9,5,2,1,1,1,17
2024-12-02,猛龙,116-119(败),34,6-9,66.7%,0-0,0%,5-6,83.3%,5,3,1,0,0,1,17
2024-11-30,猛龙,111-121(胜),34,8-14,57.1%,2-4,50.0%,8-9,88.9%,2,6,2,0,0,1,26
2024-11-28,黄蜂,98-94(胜),25,2-2,100%,2-2,100%,0-0,0%,4,3,0,0,2,0,6
2024-11-27,雄鹿,106-103(败),37,6-12,50.0%,0-1,0%,11-13,84.6%,4,5,0,0,1,1,23
2024-11-25,独行侠,118-123(胜),38,11-17,64.7%,0-0,0%,11-16,68.8%,9,6,1,2,3,1,33
2024-11-19,76人,89-106(胜),34,8-12,66.7%,1-1,100%,13-13,100%,10,5,1,0,0,2,30
2024-11-09,掘金,122-135(败),7,1-2,50.0%,0-1,0%,0-0,0%,1,2,0,0,1,0,2
2024-11-07,太阳,112-115(败),37,6-13,46.2%,0-2,0%,3-3,100%,7,3,1,0,2,1,15
