日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2025-02-23,篮网,105-103(败),31,4-13,30.8%,0-6,0%,6-6,100%,7,5,0,1,3,1,14
2025-02-21,凯尔特人,124-104(败),27,3-9,33.3%,0-2,0%,9-9,100%,3,4,0,0,2,2,15
2025-02-12,猛龙,106-103(败),38,8-19,42.1%,1-5,20.0%,10-13,76.9%,12,4,1,1,4,1,27
2025-02-10,雄鹿,127-135(败),30,7-14,50.0%,4-7,57.1%,9-10,90.0%,12,6,1,1,5,4,27
2025-02-08,活塞,112-125(败),30,7-18,38.9%,1-4,25.0%,8-10,80.0%,7,6,0,2,2,3,23
2025-02-05,独行侠,116-118(胜),36,12-23,52.2%,1-4,25.0%,4-9,44.4%,11,10,1,0,5,2,29
2025-01-05,篮网,123-94(胜),29,8-16,50.0%,2-3,66.7%,10-10,100%,12,6,0,0,3,2,28
2025-01-03,勇士,105-139(败),31,8-19,42.1%,1-3,33.3%,11-14,78.6%,14,2,1,2,2,2,28
2024-12-31,开拓者,125-103(胜),36,12-21,57.1%,1-1,100%,12-13,92.3%,9,3,0,0,4,2,37
2024-12-29,爵士,114-111(胜),35,10-21,47.6%,1-4,25.0%,11-13,84.6%,5,4,4,3,4,1,32
2024-12-26,凯尔特人,118-114(胜),31,8-15,53.3%,4-5,80.0%,7-7,100%,9,2,0,0,2,3,27
2024-12-24,马刺,106-111(胜),14,2-8,25.0%,1-4,25.0%,4-4,100%,3,1,2,0,2,3,9
2024-12-21,黄蜂,98-108(胜),31,12-24,50.0%,2-4,50.0%,8-9,88.9%,5,9,2,2,4,1,34
2024-12-14,步行者,121-107(败),17,4-9,44.4%,1-2,50.0%,3-4,75.0%,4,5,0,0,1,0,12
2024-12-09,公牛,108-100(胜),33,13-28,46.4%,0-5,0%,5-6,83.3%,12,4,0,2,6,4,31
2024-11-21,灰熊,111-117(败),35,10-21,47.6%,1-5,20.0%,14-14,100%,11,2,1,1,3,5,35
2024-11-19,热火,89-106(败),31,5-11,45.5%,1-3,33.3%,0-0,0%,8,5,0,1,2,1,11
2024-11-16,魔术,86-98(败),33,5-15,33.3%,0-5,0%,10-10,100%,8,2,1,1,6,2,20
2024-11-13,尼克斯,111-99(败),26,2-11,18.2%,1-5,20.0%,8-8,100%,3,5,0,1,2,3,13
