日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2025-04-10,独行侠,112-97(胜),36,11-20,55.0%,0-4,0%,5-6,83.3%,7,3,1,0,2,2,27
2025-04-09,雷霆,120-136(败),35,8-19,42.1%,3-6,50.0%,9-10,90.0%,7,3,1,0,6,1,28
2025-04-07,雷霆,126-99(胜),34,9-16,56.2%,1-1,100%,0-0,0%,3,7,1,0,2,0,19
2025-04-05,鹈鹕,108-124(胜),33,9-17,52.9%,2-7,28.6%,7-8,87.5%,0,8,2,0,1,1,27
2025-04-04,勇士,123-116(败),40,10-15,66.7%,5-8,62.5%,8-9,88.9%,5,9,1,1,4,2,33
2025-04-01,火箭,98-104(胜),38,5-12,41.7%,2-4,50.0%,4-4,100%,8,4,2,2,3,1,16
2025-03-30,灰熊,134-127(胜),37,10-21,47.6%,2-5,40.0%,3-4,75.0%,6,8,3,1,3,3,25
2025-03-28,公牛,117-119(败),39,8-20,40.0%,0-5,0%,1-2,50.0%,5,12,2,0,4,1,17
2025-03-27,步行者,120-119(胜),38,4-12,33.3%,0-3,0%,5-5,100%,13,7,1,0,1,1,13
2025-03-25,魔术,106-118(败),38,9-18,50.0%,0-3,0%,6-7,85.7%,6,7,0,0,2,0,24
2025-03-23,公牛,146-115(败),31,7-16,43.8%,1-2,50.0%,2-5,40.0%,6,4,3,0,5,1,17
2025-03-09,凯尔特人,101-111(败),34,11-23,47.8%,0-6,0%,0-3,0%,14,9,0,0,1,3,22
2025-03-07,尼克斯,109-113(胜),44,11-23,47.8%,2-8,25.0%,7-8,87.5%,12,8,0,1,1,3,31
2025-03-05,鹈鹕,115-136(胜),33,10-18,55.6%,5-10,50.0%,9-9,100%,8,6,1,2,4,1,34
2025-03-03,快船,102-108(胜),36,6-17,35.3%,1-6,16.7%,4-4,100%,5,9,2,1,8,2,17
2025-03-01,快船,102-106(胜),37,12-21,57.1%,2-7,28.6%,2-3,66.7%,13,3,1,0,4,0,28
2025-02-28,森林狼,102-111(胜),37,11-21,52.4%,4-9,44.4%,7-10,70.0%,17,6,1,1,4,1,33
2025-02-26,独行侠,99-107(胜),37,11-17,64.7%,2-4,50.0%,3-4,75.0%,12,3,1,0,6,2,27
2025-02-23,掘金,123-100(胜),33,11-19,57.9%,1-4,25.0%,2-3,66.7%,9,5,1,3,1,2,25
2025-02-21,开拓者,110-102(胜),36,14-24,58.3%,4-8,50.0%,8-8,100%,8,4,2,1,11,2,40
2025-02-20,黄蜂,100-97(败),38,10-22,45.5%,4-11,36.4%,2-2,100%,7,11,1,2,2,0,26
2025-02-13,爵士,119-131(败),34,6-13,46.2%,4-8,50.0%,2-4,50.0%,6,7,1,0,3,3,18
2025-02-11,爵士,113-132(胜),29,10-17,58.8%,3-7,42.9%,1-2,50.0%,7,8,1,0,7,2,24
2025-02-07,勇士,112-120(胜),38,14-25,56.0%,6-9,66.7%,8-10,80.0%,17,8,1,1,3,1,42
2025-02-05,快船,122-97(胜),31,8-13,61.5%,2-4,50.0%,8-11,72.7%,8,9,3,0,3,4,26
2025-02-02,尼克斯,128-112(胜),37,14-26,53.8%,3-8,37.5%,2-4,50.0%,11,12,0,0,5,3,33
2025-01-31,奇才,134-96(胜),27,9-19,47.4%,1-4,25.0%,5-5,100%,3,11,0,0,0,1,24
2025-01-29,76人,104-118(败),33,10-16,62.5%,1-4,25.0%,10-11,90.9%,8,9,1,0,8,1,31
2025-01-28,黄蜂,112-107(胜),36,9-17,52.9%,1-8,12.5%,3-5,60.0%,7,8,0,0,5,0,22
2025-01-26,勇士,118-108(胜),35,12-25,48.0%,0-1,0%,1-2,50.0%,5,12,1,0,3,0,25
2025-01-24,凯尔特人,96-117(胜),31,9-20,45.0%,0-2,0%,2-2,100%,14,6,0,0,2,0,20
2025-01-22,奇才,88-111(胜),36,8-18,44.4%,2-6,33.3%,3-3,100%,10,13,2,1,5,0,21
2025-01-20,快船,102-116(败),35,9-20,45.0%,2-6,33.3%,5-6,83.3%,5,11,3,1,5,3,25
2025-01-18,篮网,101-102(胜),35,12-17,70.6%,4-6,66.7%,1-2,50.0%,7,8,1,2,5,2,29
2025-01-16,热火,108-117(胜),38,9-15,60.0%,3-6,50.0%,1-2,50.0%,5,9,2,0,2,0,22
2025-01-14,马刺,126-102(败),32,7-11,63.6%,2-3,66.7%,2-4,50.0%,5,8,1,1,7,3,18
2025-01-08,独行侠,97-118(败),35,6-12,50.0%,1-4,25.0%,5-6,83.3%,10,8,1,0,2,0,18
2025-01-06,火箭,115-119(败),36,8-16,50.0%,4-7,57.1%,1-2,50.0%,13,9,1,0,2,4,21
2025-01-04,老鹰,102-119(胜),30,13-20,65.0%,2-5,40.0%,2-2,100%,3,8,0,0,3,3,30
2025-01-03,开拓者,106-114(胜),36,15-25,60.0%,7-10,70.0%,1-2,50.0%,3,8,0,0,4,1,38
2025-01-01,骑士,122-110(败),34,9-17,52.9%,3-6,50.0%,2-2,100%,4,7,0,1,2,1,23
2024-12-26,勇士,115-113(胜),37,12-22,54.5%,2-4,50.0%,5-5,100%,4,10,2,1,1,3,31
2024-12-24,活塞,117-114(败),35,10-16,62.5%,2-4,50.0%,6-7,85.7%,11,11,0,0,2,1,28
2024-12-22,国王,103-99(胜),34,13-24,54.2%,1-8,12.5%,5-6,83.3%,7,6,4,0,4,2,32
2024-12-20,国王,113-100(胜),34,8-21,38.1%,1-4,25.0%,2-2,100%,6,7,0,1,2,1,19
2024-12-16,灰熊,110-116(胜),34,7-17,41.2%,3-6,50.0%,1-4,25.0%,8,8,1,2,5,2,18
2024-12-07,老鹰,132-134(败),43,14-25,56.0%,6-11,54.5%,5-6,83.3%,10,11,2,3,4,3,39
2024-12-05,热火,93-134(败),29,12-18,66.7%,1-4,25.0%,4-4,100%,5,8,1,0,5,2,29
