日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2025-04-10,独行侠,112-97(胜),38,16-28,57.1%,7-10,70.0%,6-9,66.7%,8,6,4,0,3,4,45
2025-04-09,雷霆,120-136(败),31,7-15,46.7%,3-7,42.9%,6-7,85.7%,3,5,0,1,3,1,23
2025-04-07,雷霆,126-99(胜),37,11-20,55.0%,5-11,45.5%,3-4,75.0%,7,6,2,0,2,2,30
2025-04-05,鹈鹕,108-124(胜),36,10-21,47.6%,4-10,40.0%,11-11,100%,6,6,0,0,2,2,35
2025-04-04,勇士,123-116(败),38,6-17,35.3%,0-6,0%,7-7,100%,8,7,0,1,1,3,19
2025-04-01,火箭,98-104(胜),38,6-16,37.5%,1-7,14.3%,7-9,77.8%,6,9,2,0,3,5,20
2025-03-30,灰熊,134-127(胜),38,8-18,44.4%,2-9,22.2%,11-12,91.7%,8,9,1,0,3,3,29
2025-03-28,公牛,117-119(败),38,8-22,36.4%,4-12,33.3%,5-6,83.3%,10,8,2,1,1,0,25
2025-03-27,步行者,120-119(胜),38,11-21,52.4%,6-10,60.0%,6-7,85.7%,7,7,0,1,3,2,34
2025-03-25,魔术,106-118(败),38,9-23,39.1%,4-10,40.0%,10-11,90.9%,7,7,1,0,3,2,32
2025-03-23,公牛,146-115(败),32,10-18,55.6%,8-13,61.5%,6-8,75.0%,8,6,0,0,7,1,34
2025-03-20,掘金,108-120(胜),32,10-21,47.6%,4-9,44.4%,7-10,70.0%,9,7,2,1,6,3,31
2025-03-18,马刺,109-125(胜),34,5-20,25.0%,1-7,14.3%,10-13,76.9%,9,14,3,1,3,1,21
2025-03-17,太阳,96-107(胜),40,8-20,40.0%,4-11,36.4%,13-14,92.9%,11,8,2,0,4,4,33
2025-03-14,雄鹿,106-126(败),36,14-27,51.9%,7-13,53.8%,10-12,83.3%,11,3,2,1,6,2,45
