日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2025-04-10,国王,124-116(胜),38,5-12,41.7%,0-1,0%,10-10,100%,12,11,4,0,1,2,20
2025-04-07,步行者,125-120(败),39,18-33,54.5%,3-11,27.3%,2-3,66.7%,15,13,2,1,4,0,41
2025-04-05,勇士,104-118(败),37,13-17,76.5%,4-7,57.1%,3-3,100%,12,9,2,0,6,2,33
2025-04-02,森林狼,140-139(败),53,18-29,62.1%,6-11,54.5%,19-24,79.2%,10,10,2,0,4,5,61
2025-03-29,爵士,93-129(胜),32,8-18,44.4%,1-5,20.0%,10-12,83.3%,14,6,4,0,3,0,27
2025-03-27,雄鹿,117-127(胜),38,16-25,64.0%,3-6,50.0%,4-7,57.1%,10,10,0,0,3,2,39
2025-03-16,奇才,126-123(败),39,16-30,53.3%,1-8,12.5%,7-7,100%,13,9,1,2,3,3,40
2025-03-15,湖人,126-131(胜),38,8-16,50.0%,0-4,0%,12-17,70.6%,7,5,3,1,4,5,28
2025-03-13,森林狼,115-95(败),38,13-23,56.5%,2-6,33.3%,6-8,75.0%,8,4,1,0,3,3,34
2025-03-11,雷霆,140-127(胜),40,15-20,75.0%,1-2,50.0%,4-5,80.0%,18,8,1,1,1,4,35
2025-03-10,雷霆,103-127(败),41,10-23,43.5%,2-10,20.0%,2-6,33.3%,13,9,1,3,2,3,24
2025-03-08,太阳,141-149(胜),45,13-22,59.1%,3-7,42.9%,2-3,66.7%,21,22,3,0,4,3,31
2025-03-06,国王,110-116(胜),38,9-18,50.0%,0-2,0%,4-6,66.7%,15,6,1,0,7,3,22
2025-03-03,凯尔特人,103-110(败),39,9-15,60.0%,2-3,66.7%,0-0,0%,14,9,2,0,2,2,20
2025-03-01,活塞,134-119(胜),34,6-12,50.0%,0-3,0%,11-12,91.7%,17,15,1,2,7,2,23
2025-02-28,雄鹿,112-121(败),38,13-16,81.2%,1-2,50.0%,5-7,71.4%,14,10,1,0,5,4,32
2025-02-25,步行者,125-116(胜),39,9-14,64.3%,0-1,0%,0-0,0%,9,19,4,1,4,1,18
2025-02-23,湖人,123-100(败),35,2-7,28.6%,0-1,0%,8-10,80.0%,13,10,1,0,6,3,12
2025-02-21,黄蜂,115-129(胜),37,11-22,50.0%,6-14,42.9%,1-2,50.0%,17,9,1,1,2,1,29
2025-02-13,开拓者,121-132(胜),36,11-20,55.0%,0-3,0%,4-4,100%,15,10,2,0,4,4,26
2025-02-11,开拓者,117-146(胜),31,15-22,68.2%,2-7,28.6%,8-8,100%,7,8,3,1,5,2,40
2025-02-09,太阳,122-105(胜),29,11-13,84.6%,1-2,50.0%,3-3,100%,11,9,0,0,2,4,26
2025-02-07,魔术,90-112(胜),31,11-16,68.8%,2-4,50.0%,4-6,66.7%,10,12,2,0,3,2,28
2025-02-06,鹈鹕,119-144(胜),36,15-28,53.6%,5-13,38.5%,3-3,100%,8,10,1,1,1,3,38
2025-02-04,鹈鹕,113-125(胜),36,9-13,69.2%,1-3,33.3%,8-10,80.0%,14,10,1,2,1,2,27
2025-02-02,黄蜂,107-104(胜),37,9-17,52.9%,2-7,28.6%,8-9,88.9%,13,17,4,1,4,2,28
2025-02-01,76人,137-134(胜),37,11-16,68.8%,2-3,66.7%,4-5,80.0%,9,13,2,0,6,3,28
2025-01-30,尼克斯,112-122(败),33,6-15,40.0%,3-7,42.9%,2-2,100%,6,6,2,1,2,3,17
