日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2025-04-09,湖人,120-136(胜),37,14-26,53.8%,5-9,55.6%,9-11,81.8%,6,6,0,1,1,5,42
2025-04-07,湖人,126-99(败),30,12-23,52.2%,2-5,40.0%,0-0,0%,3,9,1,1,1,1,26
2025-04-05,火箭,111-125(败),35,10-22,45.5%,1-6,16.7%,1-2,50.0%,4,8,3,0,3,2,22
2025-04-03,活塞,103-119(胜),35,10-26,38.5%,2-7,28.6%,11-12,91.7%,6,3,3,2,1,1,33
2025-04-01,公牛,117-145(胜),27,9-14,64.3%,2-2,100%,7-7,100%,0,12,0,2,2,0,27
2025-03-30,步行者,111-132(胜),31,10-23,43.5%,3-6,50.0%,10-12,83.3%,7,8,1,0,0,2,33
2025-03-28,灰熊,104-125(胜),34,15-25,60.0%,0-2,0%,7-9,77.8%,3,6,3,0,0,0,37
2025-03-26,国王,121-105(胜),33,10-23,43.5%,3-6,50.0%,9-10,90.0%,7,5,0,0,5,2,32
2025-03-24,快船,103-101(胜),37,7-29,24.1%,1-7,14.3%,11-11,100%,3,8,2,1,1,2,26
2025-03-22,黄蜂,106-141(胜),30,13-18,72.2%,2-2,100%,2-2,100%,6,9,1,0,1,2,30
2025-03-17,雄鹿,121-105(胜),34,11-27,40.7%,0-5,0%,9-11,81.8%,2,8,0,1,1,1,31
2025-03-16,活塞,113-107(胜),38,17-26,65.4%,4-6,66.7%,10-10,100%,4,6,3,1,3,2,48
2025-03-13,凯尔特人,118-112(胜),39,11-20,55.0%,2-7,28.6%,10-11,90.9%,5,7,1,0,5,3,34
2025-03-11,掘金,140-127(败),36,8-14,57.1%,3-7,42.9%,6-6,100%,3,7,1,2,3,2,25
2025-03-10,掘金,103-127(胜),35,15-32,46.9%,2-11,18.2%,8-8,100%,8,5,0,3,1,3,40
2025-03-06,灰熊,120-103(胜),35,14-25,56.0%,3-5,60.0%,10-10,100%,2,8,2,0,4,5,41
2025-03-04,火箭,128-137(胜),36,18-30,60.0%,5-9,55.6%,10-10,100%,5,7,1,1,2,1,51
2025-03-03,马刺,146-132(胜),32,10-19,52.6%,3-5,60.0%,8-9,88.9%,4,8,1,2,0,1,31
2025-03-01,老鹰,135-119(胜),34,12-23,52.2%,3-7,42.9%,4-4,100%,3,5,2,0,1,0,31
2025-02-27,篮网,129-121(胜),33,7-11,63.6%,1-2,50.0%,12-13,92.3%,6,5,2,0,3,2,27
2025-02-25,森林狼,131-128(败),42,11-20,55.0%,3-5,60.0%,14-17,82.4%,10,8,0,0,4,5,39
2025-02-24,森林狼,130-123(胜),38,13-24,54.2%,3-6,50.0%,8-11,72.7%,8,8,3,3,5,3,37
2025-02-22,爵士,130-107(胜),32,7-16,43.8%,1-4,25.0%,6-6,100%,2,8,1,3,3,1,21
2025-02-14,森林狼,101-116(败),34,6-21,28.6%,1-2,50.0%,11-11,100%,8,9,0,0,1,2,24
2025-02-13,热火,101-115(胜),38,11-22,50.0%,4-9,44.4%,6-9,66.7%,5,9,2,0,1,4,32
2025-02-11,鹈鹕,101-137(胜),31,10-20,50.0%,4-9,44.4%,7-8,87.5%,1,2,3,1,1,1,31
2025-02-09,灰熊,125-112(胜),34,8-26,30.8%,3-5,60.0%,13-16,81.2%,0,8,0,2,0,5,32
2025-02-08,猛龙,109-121(胜),29,5-12,41.7%,1-6,16.7%,14-14,100%,4,6,1,0,2,1,25
2025-02-06,太阳,109-140(胜),34,18-29,62.1%,3-7,42.9%,11-12,91.7%,8,5,2,1,1,3,50
2025-02-04,雄鹿,96-125(胜),22,15-19,78.9%,2-3,66.7%,2-3,66.7%,3,6,0,0,3,1,34
2025-02-02,国王,110-144(胜),30,10-20,50.0%,1-6,16.7%,8-10,80.0%,6,9,0,2,4,2,29
2025-01-30,勇士,109-116(败),39,16-29,55.2%,2-6,33.3%,18-21,85.7%,3,4,1,0,3,4,52
2025-01-27,开拓者,118-108(胜),37,12-25,48.0%,2-4,50.0%,9-9,100%,5,1,3,0,2,1,35
2025-01-24,独行侠,121-115(败),40,12-25,48.0%,1-3,33.3%,6-6,100%,1,7,0,0,3,4,31
