日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2025-04-10,马刺,114-111(败),37,12-24,50.0%,5-14,35.7%,1-1,100%,8,3,2,0,1,0,30
2025-04-09,太阳,133-95(胜),26,9-17,52.9%,3-9,33.3%,4-4,100%,9,6,1,1,2,0,25
2025-04-07,火箭,106-96(败),33,1-10,10.0%,1-8,12.5%,0-0,0%,2,8,0,0,4,0,3
2025-04-05,掘金,104-118(胜),32,13-24,54.2%,7-15,46.7%,3-3,100%,2,5,2,0,2,2,36
2025-04-04,湖人,123-116(胜),34,10-21,47.6%,4-11,36.4%,13-14,92.9%,3,6,0,0,2,1,37
2025-04-02,灰熊,134-125(胜),37,16-31,51.6%,12-20,60.0%,8-8,100%,10,8,5,1,2,2,52
2025-03-31,马刺,148-106(胜),26,4-10,40.0%,2-4,50.0%,3-3,100%,3,6,1,1,0,2,13
2025-03-29,鹈鹕,111-95(胜),34,7-21,33.3%,5-16,31.2%,4-5,80.0%,4,6,3,0,1,2,23
2025-03-21,猛龙,114-117(胜),25,6-8,75.0%,2-4,50.0%,3-5,60.0%,2,1,0,1,3,0,17
2025-03-18,掘金,114-105(败),36,6-21,28.6%,4-14,28.6%,4-4,100%,4,7,3,0,7,2,20
2025-03-16,尼克斯,94-97(胜),35,8-20,40.0%,4-13,30.8%,8-9,88.9%,7,5,0,1,3,2,28
2025-03-14,国王,104-130(胜),30,4-9,44.4%,2-6,33.3%,1-1,100%,2,5,1,1,2,4,11
2025-03-11,开拓者,120-130(胜),34,6-14,42.9%,5-11,45.5%,7-7,100%,2,3,2,0,4,0,24
2025-03-09,活塞,110-115(胜),33,8-22,36.4%,4-15,26.7%,12-12,100%,3,4,1,0,4,1,32
2025-03-07,篮网,121-119(胜),36,12-20,60.0%,7-13,53.8%,9-9,100%,4,4,0,0,5,3,40
2025-03-05,尼克斯,114-102(胜),33,10-21,47.6%,5-9,55.6%,3-3,100%,7,9,2,0,2,0,28
2025-03-04,黄蜂,119-101(胜),30,6-14,42.9%,3-9,33.3%,6-8,75.0%,3,10,1,1,1,3,21
2025-03-02,76人,119-126(败),36,10-18,55.6%,5-12,41.7%,4-4,100%,5,13,1,0,3,2,29
2025-02-28,魔术,121-115(胜),34,16-25,64.0%,12-19,63.2%,12-12,100%,4,3,2,0,4,0,56
2025-02-26,黄蜂,92-128(胜),24,6-14,42.9%,2-9,22.2%,1-1,100%,4,6,1,0,2,2,15
2025-02-24,独行侠,102-126(胜),29,12-20,60.0%,3-8,37.5%,3-3,100%,4,7,1,0,2,3,30
2025-02-22,国王,132-108(胜),31,7-13,53.8%,4-9,44.4%,2-2,100%,1,6,2,0,1,0,20
2025-02-14,火箭,105-98(胜),35,7-17,41.2%,5-13,38.5%,8-9,88.9%,5,3,0,0,1,2,27
2025-02-13,独行侠,107-111(败),37,9-23,39.1%,4-13,30.8%,3-4,75.0%,5,8,2,0,4,3,25
2025-02-11,雄鹿,125-111(胜),34,12-24,50.0%,6-16,37.5%,8-9,88.9%,6,4,0,0,2,0,38
2025-02-09,公牛,132-111(胜),34,10-19,52.6%,8-16,50.0%,6-8,75.0%,4,6,0,1,4,1,34
