日期,对手,比分,时间,投篮,命中率,三分,命中率,罚球,命中率,篮板,助攻,抢断,盖帽,失误,犯规,得分
2025-02-13,凯尔特人,103-116(败),36,7-16,43.8%,1-6,16.7%,2-2,100%,13,4,0,2,2,4,17
2025-02-11,奇才,131-121(胜),38,12-21,57.1%,5-8,62.5%,2-4,50.0%,15,4,2,3,1,2,31
2025-02-09,魔术,111-112(败),31,5-11,45.5%,1-6,16.7%,7-8,87.5%,9,4,4,4,4,1,18
2025-02-08,黄蜂,116-117(败),34,7-20,35.0%,1-9,11.1%,1-1,100%,11,3,0,5,1,2,16
2025-02-06,老鹰,126-125(胜),31,8-15,53.3%,2-5,40.0%,6-8,75.0%,12,2,0,1,1,5,24
2025-02-04,灰熊,109-128(败),31,10-20,50.0%,2-6,33.3%,5-7,71.4%,10,5,2,2,4,3,27
2025-02-01,雄鹿,118-144(胜),30,9-20,45.0%,5-11,45.5%,7-7,100%,14,1,0,6,1,3,30
2025-01-30,快船,128-116(败),35,8-16,50.0%,3-6,50.0%,4-5,80.0%,12,4,2,3,3,5,23
2025-01-26,步行者,136-98(败),36,7-16,43.8%,2-7,28.6%,4-5,80.0%,12,2,2,1,4,1,20
2025-01-24,步行者,140-110(胜),32,13-21,61.9%,4-11,36.4%,0-0,0%,11,6,1,5,4,0,30
2025-01-20,热火,107-128(败),30,8-18,44.4%,3-8,37.5%,2-6,33.3%,10,3,0,1,3,2,21
2025-01-18,灰熊,140-112(败),31,8-19,42.1%,3-7,42.9%,0-0,0%,12,3,1,6,4,0,19
2025-01-16,灰熊,129-115(败),37,5-19,26.3%,3-10,30.0%,0-0,0%,12,2,2,8,1,3,13
2025-01-14,湖人,126-102(胜),34,10-17,58.8%,2-6,33.3%,1-2,50.0%,8,5,3,2,1,1,23
2025-01-09,雄鹿,105-121(败),33,4-10,40.0%,2-6,33.3%,0-0,0%,10,1,2,3,3,4,10
2025-01-07,公牛,110-114(败),35,9-22,40.9%,4-11,36.4%,1-2,50.0%,14,4,0,8,5,3,23
2025-01-05,掘金,122-111(败),39,7-19,36.8%,2-12,16.7%,4-4,100%,23,3,1,4,4,4,20
2025-01-04,掘金,113-110(胜),33,14-22,63.6%,4-6,66.7%,3-4,75.0%,18,4,1,2,7,5,35
2025-01-01,快船,86-122(胜),26,10-18,55.6%,1-6,16.7%,6-7,85.7%,9,5,1,3,2,3,27
